"Package","Topic"
"SemiPar",23
"semPLS",10
"sendplot",8
"sensitivity",10
"sensitivityPStrat",3
"sensR",22
"seqRFLP",15
"seriation",10
"setRNG",8
"sets",7
"sgeostat",6
"SGP",11
"shape",21
"shapefiles",22
"shapes",20
"SHARE",15
"SHIP",25
"siar",6
"sifds",16
"sigclust",24
"signalextraction",11
"SigWinR",20
"SII",13
"simba",12
"simco",1
"SimComp",3
"simctest",22
"simecol",21
"simexaft",11
"simFrame",8
"similarityRichards",21
"simone",24
"simpleboot",10
"SimpleTable",12
"simPopulation",3
"SIN",23
"SIS",3
"sisus",16
"SiZer",11
"skellam",9
"skmeans",7
"slam",2
"SlimPLS",22
"sm",21
"smacof",15
"smatr",3
"SMC",23
"smd.and.more",21
"SMIR",23
"smoothSurv",11
"smoothtail",24
"SMPracticals",23
"SMVar",24
"sna",25
"snow",13
"snowfall",13
"snowFT",13
"snp.plotter",22
"SNPassoc",22
"SNPMaP.cdm",13
"SNPMaP",19
"SNPmaxsel",17
"SOAR",8
"SoDA",8
"soil.spec",10
"soiltexture",20
"solaR",9
"som",24
"someMTP",19
"sos",8
"sound",15
"sp",2
"spaa",17
"space",24
"SPACECAP",3
"spam",15
"sparcl",24
"sparkTable",6
"sparr",19
"sparseLDA",24
"SparseM",2
"spatcounts",3
"spatgraphs",13
"spatial",5
"spatialCovariance",22
"SpatialEpi",16
"SpatialExtremes",11
"spatialkernel",25
"SpatialNP",25
"spatialsegregation",24
"spBayes",17
"spc",19
"spcosa",2
"spe",15
"SpectralGEM",15
"spectralGP",13
"speedglm",11
"spef",10
"speff2trial",3
"spgrass6",13
"spgwr",6
"SpherWave",20
"sphet",12
"spikeslab",17
"splancs",25
"splinesurv",3
"spls",17
"splus2R",8
"SPOT",20
"spssDDI",6
"spsurvey",22
"spuRs",24
"sqldf",8
"SQLiteDF",8
"SQLiteMap",22
"SQUAREM",11
"SRPM",8
"ssanv",3
"ssize.fdr",3
"sspline",16
"SSSR",24
"st",22
"stam",16
"STAR",14
"startupmsg",8
"stashR",8
"StatFingerprints",15
"StatMatch",11
"statmod",11
"statnet",7
"steepness",7
"Stem",11
"stepPlr",17
"stepwise",8
"stinepack",2
"stochmod",10
"stockPortfolio",23
"stoichcalc",13
"stratification",1
"stratigraph",20
"stream.net",5
"StreamMetabolism",7
"stringkernels",24
"stringr",8
"SubpathwayMiner",25
"subselect",11
"sudoku",15
"sugaR",24
"superpc",24
"SuppDists",19
"surv2sample",3
"survBayes",3
"survcomp",3
"survey",22
"surveyNG",22
"survival",3
"survivalROC",3
"survPresmooth",12
"SV",15
"svcm",11
"svcR",19
"svDialogs",20
"svGUI",8
"svIDE",8
"svMisc",8
"svmpath",11
"svSocket",8
"svTools",8
"svUnit",8
"svWidgets",15
"SweaveListingUtils",8
"SwissAir",6
"symmoments",7
"synchronicity",8
"SyNet",22
"Synth",24
"systemfit",1
"TANOVA",24
"taskPR",15
"tau",8
"tawny",24
"tcltk2",8
"tdm",13
"tdthap",22
"TeachingDemos",21
"tensorA",15
"termstrc",24
"testthat",8
"textcat",8
"tframe",7
"tframePlus",7
"tgp",21
"tgram",17
"TGUICore",20
"tiger",16
"tikzDevice",5
"tileHMM",9
"timeDate",15
"timereg",3
"timeSeries",15
"TIMP",21
"timsac",25
"TinnR",8
"tis",21
"titan",22
"tlemix",10
"tm.plugin.mail",8
"tm",8
"tmvtnorm",3
"tnet",24
"tolerance",3
"topicmodels",9
"topmodel",15
"tossm",16
"tourr",24
"tourrGui",20
"ToxLim",24
"tpr",3
"tpsDesign",3
"trackObjs",8
"tractor.base",8
"tradeCosts",4
"traitr",4
"TRAMPR",21
"tree",17
"treelet",25
"TreePar",24
"TreeRank",22
"TreeSim",24
"treethresh",2
"trio",22
"trip",16
"tripack",21
"tripEstimation",16
"TripleR",24
"truncgof",3
"trust",11
"TSA",24
"TSAgg",15
"TSdbi",2
"tsDyn",10
"tseries",7
"tseriesChaos",24
"TSfame",2
"tsModel",20
"TSP",8
"TSpadi",8
"ttime",8
"TTR",6
"ttrTests",24
"ttutils",8
"TunePareto",13
"twang",3
"tweedie",11
"twitteR",9
"TWIX",17
"twopartqtl",17
"TwoWaySurvival",11
"twslm",20
"ucminf",11
"unbalhaar",2
"uncompress",8
"Unicode",8
"uniCox",24
"unmarked",10
"untb",19
"UScensus2000",14
"UScensus2000blkgrp",14
"UScensus2000cdp",14
"UScensus2000tract",14
"UsingR",23
"USPS",22
"vardiag",15
"varSelRF",5
"vbmp",22
"vcd",1
"vcdExtra",1
"VecStatGraphs2D",15
"VecStatGraphs3D",15
"vegan",12
"vegdata",3
"vegetarian",12
"verification",19
"VGAM",9
"VhayuR",8
"VHDClassification",22
"VIM",21
"vowels",16
"VPdtw",11
"vrmlgen",20
"vrtest",3
"wasim",6
"waterfall",21
"waveband",2
"WaveCD",16
"waveclock",20
"waved",20
"wavelets",2
"waveslim",16
"wavethresh",2
"wccsom",5
"webvis",5
"wgaim",17
"WGCNA",5
"WhatIf",17
"wikibooks",20
"WilcoxCV",17
"WINRPACK",20
"wle",3
"WMBrukerParser",13
"WMCapacity",20
"wmtsa",25
"wnominate",4
"wombsoft",24
"wordnet",16
"wq",5
"WriteXLS",8
"WWGbook",23
"x12",6
"xgobi",15
"xlsReadWrite",8
"xlsx",5
"XML",7
"xtable",22
"xterm256",20
"xts",15
"yacca",12
"yaImpute",8
"YaleToolkit",21
"yaml",8
"yest",15
"yhat",24
"YieldCurve",24
"YourCast",15
"Zelig",6
"zic",3
"zoeppritz",13
"zoo",21
"zyp",7
